city,gu,school_cnt
서울특별시,성북구,서울대학교사범대학부설중학교
서울특별시,종로구,서울대학교사범대학부설여자중학교
서울특별시,강남구,개원중학교
서울특별시,서초구,경원중학교
서울특별시,강남구,구룡중학교
서울특별시,강남구,압구정중학교
서울특별시,강남구,단국대학교사범대학부속중학교
서울특별시,강남구,대명중학교
서울특별시,강남구,대왕중학교
서울특별시,강남구,대청중학교
서울특별시,강남구,대치중학교
서울특별시,강남구,도곡중학교
서울특별시,서초구,동덕여자중학교
서울특별시,서초구,반포중학교
서울특별시,서초구,방배중학교
서울특별시,강남구,봉은중학교
서울특별시,서초구,서문여자중학교
서울특별시,서초구,서운중학교
서울특별시,서초구,서일중학교
서울특별시,서초구,서초중학교
서울특별시,서초구,세화여자중학교
서울특별시,강남구,수서중학교
서울특별시,강남구,숙명여자중학교
서울특별시,강남구,신구중학교
서울특별시,서초구,신동중학교
서울특별시,서초구,신반포중학교
서울특별시,강남구,신사중학교
서울특별시,서초구,언남중학교
서울특별시,강남구,언북중학교
서울특별시,강남구,언주중학교
서울특별시,강남구,역삼중학교
서울특별시,서초구,영동중학교
서울특별시,서초구,원촌중학교
서울특별시,강남구,은성중학교
서울특별시,서초구,이수중학교
서울특별시,강남구,중동중학교
서울특별시,강남구,진선여자중학교
서울특별시,강남구,청담중학교
서울특별시,강남구,휘문중학교
서울특별시,송파구,가락중학교
서울특별시,송파구,가원중학교
서울특별시,강동구,강일중학교
서울특별시,송파구,거원중학교
서울특별시,강동구,고덕중학교
서울특별시,강동구,동북중학교
서울특별시,강동구,동신중학교
서울특별시,강동구,둔촌중학교
서울특별시,강동구,명일중학교
서울특별시,송파구,문정중학교
서울특별시,송파구,방산중학교
서울특별시,송파구,방이중학교
서울특별시,송파구,배명중학교
서울특별시,강동구,배재중학교
서울특별시,송파구,보성중학교
서울특별시,송파구,보인중학교
서울특별시,강동구,상일여자중학교
서울특별시,송파구,석촌중학교
서울특별시,강동구,성내중학교
서울특별시,강동구,성덕여자중학교
서울특별시,송파구,세륜중학교
서울특별시,송파구,송파중학교
서울특별시,강동구,신명중학교
서울특별시,강동구,신암중학교
서울특별시,송파구,신천중학교
서울특별시,송파구,아주중학교
서울특별시,송파구,영파여자중학교
서울특별시,송파구,오금중학교
서울특별시,송파구,오륜중학교
서울특별시,송파구,오주중학교
서울특별시,송파구,일신여자중학교
서울특별시,송파구,잠신중학교
서울특별시,송파구,잠실중학교
서울특별시,송파구,정신여자중학교
서울특별시,강동구,천일중학교
서울특별시,강동구,천호중학교
서울특별시,송파구,풍납중학교
서울특별시,송파구,풍성중학교
서울특별시,강동구,한산중학교
서울특별시,강동구,한영중학교
서울특별시,양천구,강신중학교
서울특별시,강서구,경서중학교
서울특별시,강서구,공진중학교
서울특별시,강서구,공항중학교
서울특별시,양천구,금옥중학교
서울특별시,강서구,덕원중학교
서울특별시,강서구,등명중학교
서울특별시,강서구,등원중학교
서울특별시,강서구,등촌중학교
서울특별시,강서구,마포중학교
서울특별시,강서구,명덕여자중학교
서울특별시,양천구,목동중학교
서울특별시,양천구,목일중학교
서울특별시,강서구,방원중학교
서울특별시,강서구,방화중학교
서울특별시,강서구,백석중학교
서울특별시,양천구,봉영여자중학교
서울특별시,강서구,삼정중학교
서울특별시,강서구,성재중학교
서울특별시,강서구,송정중학교
서울특별시,양천구,신남중학교
서울특별시,양천구,신목중학교
서울특별시,양천구,신서중학교
서울특별시,양천구,신원중학교
서울특별시,양천구,신월중학교
서울특별시,강서구,신정여자중학교
서울특별시,양천구,신화중학교
서울특별시,양천구,양강중학교
서울특별시,양천구,양동중학교
서울특별시,양천구,양서중학교
서울특별시,양천구,양정중학교
서울특별시,양천구,양천중학교
서울특별시,강서구,염창중학교
서울특별시,양천구,영도중학교
서울특별시,양천구,월촌중학교
서울특별시,강서구,화곡중학교
서울특별시,강서구,화원중학교
서울특별시,금천구,가산중학교
서울특별시,구로구,개봉중학교
서울특별시,구로구,개웅중학교
서울특별시,구로구,고척중학교
서울특별시,구로구,구로중학교
서울특별시,구로구,구일중학교
서울특별시,금천구,난곡중학교
서울특별시,영등포구,당산서중학교
서울특별시,영등포구,당산중학교
서울특별시,영등포구,대림중학교
서울특별시,영등포구,대영중학교
서울특별시,금천구,동일중학교
서울특별시,영등포구,문래중학교
서울특별시,금천구,문성중학교
서울특별시,금천구,문일중학교
서울특별시,금천구,세일중학교
서울특별시,금천구,시흥중학교
서울특별시,구로구,신도림중학교
서울특별시,금천구,안천중학교
서울특별시,영등포구,선유중학교
서울특별시,영등포구,양화중학교
서울특별시,영등포구,여의도중학교
서울특별시,영등포구,영남중학교
서울특별시,구로구,영림중학교
서울특별시,구로구,영서중학교
서울특별시,영등포구,영원중학교
서울특별시,구로구,오남중학교
서울특별시,구로구,경인중학교
서울특별시,구로구,오류중학교
서울특별시,구로구,우신중학교
서울특별시,영등포구,윤중중학교
서울특별시,금천구,한울중학교
서울특별시,동대문구,경희여자중학교
서울특별시,동대문구,경희중학교
서울특별시,동대문구,대광중학교
서울특별시,동대문구,동국대학교사범대학부속중학교
서울특별시,동대문구,동대문중학교
서울특별시,중랑구,동원중학교
서울특별시,중랑구,면목중학교
서울특별시,중랑구,봉화중학교
서울특별시,중랑구,상봉중학교
서울특별시,동대문구,성일중학교
서울특별시,중랑구,송곡여자중학교
서울특별시,동대문구,숭인중학교
서울특별시,중랑구,신현중학교
서울특별시,중랑구,영란여자중학교
서울특별시,중랑구,용마중학교
서울특별시,중랑구,원묵중학교
서울특별시,중랑구,장안중학교
서울특별시,동대문구,장평중학교
서울특별시,동대문구,전농중학교
서울특별시,동대문구,전동중학교
서울특별시,동대문구,전일중학교
서울특별시,동대문구,정화여자중학교
서울특별시,중랑구,중랑중학교
서울특별시,중랑구,중화중학교
서울특별시,동대문구,청량중학교
서울특별시,중랑구,태릉중학교
서울특별시,중랑구,혜원여자중학교
서울특별시,동대문구,휘경여자중학교
서울특별시,동대문구,휘경중학교
서울특별시,동작구,강남중학교
서울특별시,동작구,강현중학교
서울특별시,관악구,관악중학교
서울특별시,관악구,광신중학교
서울특별시,동작구,국사봉중학교
서울특별시,관악구,난우중학교
서울특별시,관악구,남강중학교
서울특별시,관악구,남서울중학교
서울특별시,동작구,남성중학교
서울특별시,관악구,당곡중학교
서울특별시,동작구,대방중학교
서울특별시,동작구,동양중학교
서울특별시,동작구,동작중학교
서울특별시,동작구,문창중학교
서울특별시,관악구,미성중학교
서울특별시,관악구,봉림중학교
서울특별시,관악구,봉원중학교
서울특별시,동작구,사당중학교
서울특별시,동작구,상도중학교
서울특별시,동작구,상현중학교
서울특별시,관악구,서울문영여자중학교
서울특별시,동작구,성남중학교
서울특별시,관악구,성보중학교
서울특별시,관악구,신관중학교
서울특별시,관악구,삼성중학교
서울특별시,관악구,신림중학교
서울특별시,동작구,영등포중학교
서울특별시,관악구,인헌중학교
서울특별시,동작구,장승중학교
서울특별시,동작구,중앙대학교사범대학부속중학교
서울특별시,노원구,공릉중학교
서울특별시,노원구,광운중학교
서울특별시,도봉구,노곡중학교
서울특별시,노원구,노원중학교
서울특별시,노원구,노일중학교
서울특별시,노원구,녹천중학교
서울특별시,도봉구,도봉중학교
서울특별시,도봉구,방학중학교
서울특별시,도봉구,백운중학교
서울특별시,도봉구,북서울중학교
서울특별시,노원구,불암중학교
서울특별시,노원구,상경중학교
서울특별시,노원구,상계제일중학교
서울특별시,노원구,상계중학교
서울특별시,노원구,상명중학교
서울특별시,노원구,상원중학교
서울특별시,도봉구,선덕중학교
서울특별시,노원구,수락중학교
서울특별시,도봉구,신도봉중학교
서울특별시,도봉구,신방학중학교
서울특별시,노원구,신상중학교
서울특별시,노원구,신창중학교
서울특별시,노원구,염광중학교
서울특별시,노원구,온곡중학교
서울특별시,노원구,월계중학교
서울특별시,노원구,재현중학교
서울특별시,도봉구,정의여자중학교
서울특별시,노원구,중계중학교
서울특별시,노원구,중원중학교
서울특별시,노원구,중평중학교
서울특별시,도봉구,창동중학교
서울특별시,도봉구,창북중학교
서울특별시,도봉구,창일중학교
서울특별시,노원구,청원중학교
서울특별시,노원구,태랑중학교
서울특별시,노원구,하계중학교
서울특별시,노원구,한천중학교
서울특별시,마포구,경성중학교
서울특별시,마포구,광성중학교
서울특별시,은평구,구산중학교
서울특별시,은평구,대성중학교
서울특별시,은평구,덕산중학교
서울특별시,마포구,동도중학교
서울특별시,서대문구,동명여자중학교
서울특별시,서대문구,명지중학교
서울특별시,은평구,불광중학교
서울특별시,은평구,상신중학교
서울특별시,서대문구,서연중학교
서울특별시,마포구,서울여자중학교
서울특별시,은평구,선일여자중학교
서울특별시,은평구,선정중학교
서울특별시,마포구,성사중학교
서울특별시,마포구,성산중학교
서울특별시,마포구,성서중학교
서울특별시,마포구,숭문중학교
서울특별시,은평구,숭실중학교
서울특별시,마포구,신수중학교
서울특별시,서대문구,신연중학교
서울특별시,마포구,아현중학교
서울특별시,서대문구,연북중학교
서울특별시,은평구,연서중학교
서울특별시,은평구,연신중학교
서울특별시,은평구,연천중학교
서울특별시,서대문구,연희중학교
서울특별시,은평구,영락중학교
서울특별시,은평구,예일여자중학교
서울특별시,은평구,은평중학교
서울특별시,서대문구,이화여자대학교사범대학부속이화·금란중학교
서울특별시,서대문구,인창중학교
서울특별시,서대문구,정원여자중학교
서울특별시,마포구,중암중학교
서울특별시,서대문구,중앙여자중학교
서울특별시,은평구,증산중학교
서울특별시,은평구,충암중학교
서울특별시,서대문구,한성중학교
서울특별시,서대문구,홍은중학교
서울특별시,마포구,홍익대학교사범대학부속여자중학교
서울특별시,광진구,건국대학교사범대학부속중학교
서울특별시,성동구,경수중학교
서울특별시,광진구,광남중학교
서울특별시,광진구,광양중학교
서울특별시,광진구,광장중학교
서울특별시,광진구,광진중학교
서울특별시,성동구,광희중학교
서울특별시,광진구,구의중학교
서울특별시,광진구,대원국제중학교
서울특별시,성동구,동마중학교
서울특별시,광진구,동국대학교사범대학부속여자중학교
서울특별시,성동구,무학중학교
서울특별시,성동구,성수중학교
서울특별시,성동구,성원중학교
서울특별시,광진구,신양중학교
서울특별시,성동구,옥정중학교
서울특별시,광진구,용곡중학교
서울특별시,광진구,자양중학교
서울특별시,성동구,한양대학교사범대학부속중학교
서울특별시,성동구,행당중학교
서울특별시,강북구,강북중학교
서울특별시,성북구,고려대학교사범대학부속중학교
서울특별시,성북구,고명중학교
서울특별시,성북구,남대문중학교
서울특별시,성북구,동구여자중학교
서울특별시,강북구,번동중학교
서울특별시,성북구,북악중학교
서울특별시,성북구,삼선중학교
서울특별시,강북구,서라벌중학교
서울특별시,성북구,석관중학교
서울특별시,성북구,성신여자중학교
서울특별시,강북구,성암여자중학교
서울특별시,강북구,수송중학교
서울특별시,강북구,수유중학교
서울특별시,강북구,신일중학교
서울특별시,강북구,영훈국제중학교
서울특별시,성북구,용문중학교
서울특별시,성북구,월곡중학교
서울특별시,강북구,인수중학교
서울특별시,성북구,장위중학교
서울특별시,성북구,종암중학교
서울특별시,강북구,창문여자중학교
서울특별시,성북구,한성여자중학교
서울특별시,성북구,홍익대학교사범대학부속중학교
서울특별시,강북구,화계중학교
서울특별시,종로구,경신중학교
서울특별시,중구,금호여자중학교
서울특별시,중구,대경중학교
서울특별시,종로구,대신중학교
서울특별시,종로구,덕성여자중학교
서울특별시,중구,덕수중학교
서울특별시,종로구,동성중학교
서울특별시,용산구,배문중학교
서울특별시,종로구,배화여자중학교
서울특별시,용산구,보성여자중학교
서울특별시,종로구,상명대학교사범대학부속여자중학교
서울특별시,용산구,선린중학교
서울특별시,용산구,성심여자중학교
서울특별시,동작구,숭의여자중학교
서울특별시,용산구,신광여자중학교
서울특별시,용산구,오산중학교
서울특별시,용산구,용강중학교
서울특별시,용산구,용산중학교
서울특별시,중구,장원중학교
서울특별시,중구,장충중학교
서울특별시,종로구,중앙중학교
서울특별시,중구,창덕여자중학교
서울특별시,종로구,청운중학교
서울특별시,용산구,한강중학교
서울특별시,중구,한양중학교
서울특별시,중구,환일중학교
서울특별시,송파구,서울체육중학교
서울특별시,강북구,삼각산중학교
서울특별시,노원구,을지중학교
서울특별시,관악구,구암중학교
서울특별시,성동구,경일중학교
서울특별시,성동구,마장중학교
서울특별시,성북구,개운중학교
서울특별시,광진구,양진중학교
서울특별시,강서구,염경중학교
서울특별시,도봉구,효문중학교
서울특별시,마포구,상암중학교
서울특별시,강서구,수명중학교
서울특별시,은평구,진관중학교
서울특별시,양천구,목운중학교
서울특별시,강북구,미양중학교
서울특별시,서대문구,인왕중학교
서울특별시,송파구,문현중학교
서울특별시,강동구,강명중학교
서울특별시,강동구,강동중학교
서울특별시,은평구,신도중학교
서울특별시,마포구,창천중학교
서울특별시,구로구,천왕중학교
서울특별시,서대문구,가재울중학교
서울특별시,성북구,길음중학교
서울특별시,강서구,마곡중학교
서울특별시,성북구,숭곡중학교
서울특별시,강남구,세곡중학교
서울특별시,송파구,송례중학교
서울특별시,서초구,내곡중학교
서울특별시,종로구,서울농학교
서울특별시,마포구,한국우진학교
서울특별시,종로구,서울맹학교
서울특별시,송파구,광성하늘빛학교
서울특별시,동작구,누리학교
서울특별시,강서구,교남학교
서울특별시,서초구,다니엘학교
서울특별시,강남구,밀알학교
서울특별시,관악구,서울새롬학교
서울특별시,광진구,서울광진학교
서울특별시,노원구,서울동천학교
서울특별시,동작구,서울삼성학교
서울특별시,강북구,서울애화학교
서울특별시,도봉구,서울인강학교
서울특별시,관악구,서울정문학교
서울특별시,노원구,서울정민학교
서울특별시,강북구,서울정인학교
서울특별시,구로구,서울정진학교
서울특별시,구로구,성베드로학교
서울특별시,종로구,수도사랑의학교
서울특별시,서대문구,연세대학교재활학교
서울특별시,강남구,서울정애학교
서울특별시,강동구,주몽학교
서울특별시,강동구,한국구화학교
서울특별시,송파구,한국육영학교
서울특별시,강북구,한빛맹학교
서울특별시,은평구,은평대영학교
서울특별시,종로구,서울경운학교
서울특별시,성북구,서울다원학교
서울특별시,강북구,서울효정학교
서울특별시,강남구,국립국악중학교
서울특별시,금천구,국립전통예술중학교
서울특별시,광진구,선화예술중학교
서울특별시,중구,예원학교
서울특별시,노원구,한국삼육중학교
서울특별시,마포구,아현중학교부설방송통신중학교
